pattern,syllable,vowel_sound,tts_locale,query_text,example_word,file,status
KVK,bet,e-pepet,hi,बत,abet,KVK/KVK_bet_e-pepet.mp3,generated
KVK,bet,e-taling,id-MY,beht,abet,KVK/KVK_bet_e-taling.mp3,already-present
KVK,bih,standard,id-MY,bih,lebih,KVK/KVK_bih.mp3,already-present
KVK,bik,standard,id-MY,bik,aerobik,KVK/KVK_bik.mp3,already-present
KVK,bil,standard,id-MY,bil,automobil,KVK/KVK_bil.mp3,already-present
KVK,bim,standard,id-MY,bim,bimbang,KVK/KVK_bim.mp3,already-present
KVK,bin,standard,id-MY,bin,abintara,KVK/KVK_bin.mp3,already-present
KVK,bir,standard,id-MY,bir,bibir,KVK/KVK_bir.mp3,already-present
KVK,bis,standard,id-MY,bis,autobis,KVK/KVK_bis.mp3,already-present
KVK,bit,standard,id-MY,bit,babit,KVK/KVK_bit.mp3,already-present
KVK,boh,standard,id-MY,boh,bohlam,KVK/KVK_boh.mp3,already-present
KVK,bok,standard,id-MY,bok,bobok,KVK/KVK_bok.mp3,already-present
KVK,bol,standard,id-MY,bol,bobol,KVK/KVK_bol.mp3,already-present
KVK,bom,standard,id-MY,bom,bom,KVK/KVK_bom.mp3,already-present
KVK,bon,standard,id-MY,bon,abon,KVK/KVK_bon.mp3,already-present
KVK,bor,standard,id-MY,bor,bor,KVK/KVK_bor.mp3,already-present
KVK,bos,standard,id-MY,bos,bobos,KVK/KVK_bos.mp3,already-present
KVK,bot,standard,id-MY,bot,bot,KVK/KVK_bot.mp3,already-present
KVK,buh,standard,id-MY,buh,abuh,KVK/KVK_buh.mp3,already-present
KVK,buk,standard,id-MY,buk,abuk,KVK/KVK_buk.mp3,already-present
KVK,bul,standard,id-MY,bul,bubul,KVK/KVK_bul.mp3,already-present
KVK,bum,standard,id-MY,bum,bumban,KVK/KVK_bum.mp3,already-present
KVK,bun,standard,id-MY,bun,abun,KVK/KVK_bun.mp3,already-present
KVK,bur,standard,id-MY,bur,abur,KVK/KVK_bur.mp3,already-present
KVK,bus,standard,id-MY,bus,abus,KVK/KVK_bus.mp3,already-present
KVK,but,standard,id-MY,but,atribut,KVK/KVK_but.mp3,already-present
KVK,cah,standard,id-MY,cah,acah,KVK/KVK_cah.mp3,already-present
KVK,cak,standard,id-MY,cak,acak,KVK/KVK_cak.mp3,already-present
KVK,cal,standard,id-MY,cal,kerical,KVK/KVK_cal.mp3,already-present
KVK,cam,standard,id-MY,cam,cam,KVK/KVK_cam.mp3,already-present
KVK,can,standard,id-MY,can,acan,KVK/KVK_can.mp3,already-present
KVK,cap,standard,id-MY,cap,acap,KVK/KVK_cap.mp3,already-present
KVK,car,standard,id-MY,car,acar,KVK/KVK_car.mp3,already-present
KVK,cas,standard,id-MY,cas,cas,KVK/KVK_cas.mp3,already-present
KVK,cat,standard,id-MY,cat,cacat,KVK/KVK_cat.mp3,already-present
KVK,ceh,e-pepet,hi,चह,boceh,KVK/KVK_ceh_e-pepet.mp3,generated
KVK,ceh,e-taling,id-MY,cehh,boceh,KVK/KVK_ceh_e-taling.mp3,already-present
KVK,cek,e-pepet,hi,चक,becek,KVK/KVK_cek_e-pepet.mp3,generated
KVK,cek,e-taling,id-MY,cehk,becek,KVK/KVK_cek_e-taling.mp3,already-present
KVK,cel,e-pepet,hi,चल,celsius,KVK/KVK_cel_e-pepet.mp3,generated
KVK,cel,e-taling,id-MY,cehl,celsius,KVK/KVK_cel_e-taling.mp3,already-present
KVK,cem,e-pepet,hi,चम,cembang,KVK/KVK_cem_e-pepet.mp3,generated
KVK,cem,e-taling,id-MY,cehm,cembang,KVK/KVK_cem_e-taling.mp3,already-present
KVK,cen,e-pepet,hi,चन,cencala,KVK/KVK_cen_e-pepet.mp3,generated
KVK,cen,e-taling,id-MY,cehn,cencala,KVK/KVK_cen_e-taling.mp3,already-present
KVK,cer,e-pepet,hi,चर,cerca,KVK/KVK_cer_e-pepet.mp3,generated
KVK,cer,e-taling,id-MY,cehr,cerca,KVK/KVK_cer_e-taling.mp3,already-present
KVK,ces,e-pepet,hi,चस,leces,KVK/KVK_ces_e-pepet.mp3,generated
KVK,ces,e-taling,id-MY,cehs,leces,KVK/KVK_ces_e-taling.mp3,already-present
KVK,cet,e-pepet,hi,चत,lecet,KVK/KVK_cet_e-pepet.mp3,generated
KVK,cet,e-taling,id-MY,ceht,lecet,KVK/KVK_cet_e-taling.mp3,already-present
KVK,cih,standard,id-MY,cih,pacih,KVK/KVK_cih.mp3,already-present
KVK,cik,standard,id-MY,cik,acik,KVK/KVK_cik.mp3,already-present
KVK,cil,standard,id-MY,cil,cacil,KVK/KVK_cil.mp3,already-present
KVK,cim,standard,id-MY,cim,cimni,KVK/KVK_cim.mp3,already-present
KVK,cin,standard,id-MY,cin,bacin,KVK/KVK_cin.mp3,already-present
KVK,cip,standard,id-MY,cip,cicip,KVK/KVK_cip.mp3,already-present
KVK,cir,standard,id-MY,cir,cicir,KVK/KVK_cir.mp3,already-present
KVK,cis,standard,id-MY,cis,cis,KVK/KVK_cis.mp3,already-present
KVK,cit,standard,id-MY,cit,cicit,KVK/KVK_cit.mp3,already-present
KVK,coh,standard,id-MY,coh,gocoh,KVK/KVK_coh.mp3,already-present
KVK,cok,standard,id-MY,cok,bacok,KVK/KVK_cok.mp3,already-present
KVK,com,standard,id-MY,com,combol,KVK/KVK_com.mp3,already-present
KVK,con,standard,id-MY,con,condong,KVK/KVK_con.mp3,already-present
KVK,cop,standard,id-MY,cop,cop,KVK/KVK_cop.mp3,already-present
KVK,cor,standard,id-MY,cor,bocor,KVK/KVK_cor.mp3,already-present
KVK,cuh,standard,id-MY,cuh,acuh,KVK/KVK_cuh.mp3,already-present
KVK,cuk,standard,id-MY,cuk,bacuk,KVK/KVK_cuk.mp3,already-present
KVK,cul,standard,id-MY,cul,bacul,KVK/KVK_cul.mp3,already-present
KVK,cum,standard,id-MY,cum,acum,KVK/KVK_cum.mp3,already-present
KVK,cun,standard,id-MY,cun,cucunya,KVK/KVK_cun.mp3,already-present
KVK,cup,standard,id-MY,cup,cemucup,KVK/KVK_cup.mp3,already-present
KVK,cur,standard,id-MY,cur,cucur,KVK/KVK_cur.mp3,already-present
KVK,cus,standard,id-MY,cus,becus,KVK/KVK_cus.mp3,already-present
KVK,cut,standard,id-MY,cut,bacut,KVK/KVK_cut.mp3,already-present
KVK,dah,standard,id-MY,dah,akidah,KVK/KVK_dah.mp3,already-present
KVK,dak,standard,id-MY,dak,badak,KVK/KVK_dak.mp3,already-present
KVK,dal,standard,id-MY,dal,badal,KVK/KVK_dal.mp3,already-present
KVK,dam,standard,id-MY,dam,adam,KVK/KVK_dam.mp3,already-present
KVK,dan,standard,id-MY,dan,adan,KVK/KVK_dan.mp3,already-present
KVK,dap,standard,id-MY,dap,memperadapkan,KVK/KVK_dap.mp3,already-present
KVK,dar,standard,id-MY,dar,adar,KVK/KVK_dar.mp3,already-present
KVK,das,standard,id-MY,das,adas,KVK/KVK_das.mp3,already-present
KVK,dat,standard,id-MY,dat,adat,KVK/KVK_dat.mp3,already-present
KVK,dek,e-pepet,hi,दक,bodek,KVK/KVK_dek_e-pepet.mp3,generated
KVK,dek,e-taling,id-MY,dehk,bodek,KVK/KVK_dek_e-taling.mp3,already-present
KVK,del,e-pepet,hi,दल,bedel,KVK/KVK_del_e-pepet.mp3,generated
KVK,del,e-taling,id-MY,dehl,bedel,KVK/KVK_del_e-taling.mp3,already-present
KVK,dem,e-pepet,hi,दम,adem,KVK/KVK_dem_e-pepet.mp3,generated
KVK,dem,e-taling,id-MY,dehm,adem,KVK/KVK_dem_e-taling.mp3,already-present
KVK,den,e-pepet,hi,दन,dencang,KVK/KVK_den_e-pepet.mp3,generated
KVK,den,e-taling,id-MY,dehn,dencang,KVK/KVK_den_e-taling.mp3,already-present
KVK,dep,e-pepet,hi,दप,antidepresan,KVK/KVK_dep_e-pepet.mp3,generated
KVK,dep,e-taling,id-MY,dehp,antidepresan,KVK/KVK_dep_e-taling.mp3,already-present
KVK,der,e-pepet,hi,दर,derhaka,KVK/KVK_der_e-pepet.mp3,generated
KVK,der,e-taling,id-MY,dehr,derhaka,KVK/KVK_der_e-taling.mp3,already-present
KVK,des,e-pepet,hi,दस,aedes,KVK/KVK_des_e-pepet.mp3,generated
KVK,des,e-taling,id-MY,dehs,aedes,KVK/KVK_des_e-taling.mp3,already-present
KVK,det,e-pepet,hi,दत,kadet,KVK/KVK_det_e-pepet.mp3,generated
KVK,det,e-taling,id-MY,deht,kadet,KVK/KVK_det_e-taling.mp3,already-present
KVK,dih,standard,id-MY,dih,dadih,KVK/KVK_dih.mp3,already-present
KVK,dik,standard,id-MY,dik,adik,KVK/KVK_dik.mp3,already-present
KVK,dil,standard,id-MY,dil,adil,KVK/KVK_dil.mp3,already-present
KVK,dim,standard,id-MY,dim,dim,KVK/KVK_dim.mp3,already-present
KVK,din,standard,id-MY,din,abidin,KVK/KVK_din.mp3,already-present
KVK,dip,standard,id-MY,dip,adipsia,KVK/KVK_dip.mp3,already-present
KVK,dir,standard,id-MY,dir,dirgahayu,KVK/KVK_dir.mp3,already-present
KVK,dis,standard,id-MY,dis,bidis,KVK/KVK_dis.mp3,already-present
KVK,dit,standard,id-MY,dit,audit,KVK/KVK_dit.mp3,already-present
KVK,doh,standard,id-MY,doh,bodoh,KVK/KVK_doh.mp3,already-present
KVK,dok,standard,id-MY,dok,belodok,KVK/KVK_dok.mp3,already-present
KVK,dol,standard,id-MY,dol,dodol,KVK/KVK_dol.mp3,already-present
KVK,dom,standard,id-MY,dom,domba,KVK/KVK_dom.mp3,already-present
KVK,don,standard,id-MY,don,dondang,KVK/KVK_don.mp3,already-present
KVK,dop,standard,id-MY,dop,adopsi,KVK/KVK_dop.mp3,already-present
KVK,dor,standard,id-MY,dor,ambasador,KVK/KVK_dor.mp3,already-present
KVK,dos,standard,id-MY,dos,dodos,KVK/KVK_dos.mp3,already-present
KVK,dot,standard,id-MY,dot,antidot,KVK/KVK_dot.mp3,already-present
KVK,duh,standard,id-MY,duh,aduh,KVK/KVK_duh.mp3,already-present
KVK,duk,standard,id-MY,duk,aduk,KVK/KVK_duk.mp3,already-present
KVK,dul,standard,id-MY,dul,budul,KVK/KVK_dul.mp3,already-present
KVK,dum,standard,id-MY,dum,redum,KVK/KVK_dum.mp3,already-present
KVK,dun,standard,id-MY,dun,adunya,KVK/KVK_dun.mp3,already-present
KVK,dup,standard,id-MY,dup,hidup,KVK/KVK_dup.mp3,already-present
KVK,dur,standard,id-MY,dur,bahadur,KVK/KVK_dur.mp3,already-present
KVK,dus,standard,id-MY,dus,dusta,KVK/KVK_dus.mp3,already-present
KVK,dut,standard,id-MY,dut,antikedut,KVK/KVK_dut.mp3,already-present
KVK,fah,standard,id-MY,fah,arafah,KVK/KVK_fah.mp3,already-present
KVK,fak,standard,id-MY,fak,artifak,KVK/KVK_fak.mp3,already-present
KVK,fal,standard,id-MY,fal,afal,KVK/KVK_fal.mp3,already-present
KVK,fan,standard,id-MY,fan,pengaktifan,KVK/KVK_fan.mp3,already-present
KVK,far,standard,id-MY,far,fardu,KVK/KVK_far.mp3,already-present
KVK,fas,standard,id-MY,fas,nafas,KVK/KVK_fas.mp3,already-present
KVK,fat,standard,id-MY,fat,fatwa,KVK/KVK_fat.mp3,already-present
KVK,fek,e-pepet,hi,फ़क,efektif,KVK/KVK_fek_e-pepet.mp3,generated
KVK,fek,e-taling,id-MY,fehk,efektif,KVK/KVK_fek_e-taling.mp3,already-present
KVK,fel,e-pepet,hi,फ़ल,rifel,KVK/KVK_fel_e-pepet.mp3,generated
KVK,fel,e-taling,id-MY,fehl,rifel,KVK/KVK_fel_e-taling.mp3,already-present
KVK,fen,e-pepet,hi,फ़न,defendan,KVK/KVK_fen_e-pepet.mp3,generated
KVK,fen,e-taling,id-MY,fehn,defendan,KVK/KVK_fen_e-taling.mp3,already-present
KVK,fer,e-pepet,hi,फ़र,konifer,KVK/KVK_fer_e-pepet.mp3,generated
KVK,fer,e-taling,id-MY,fehr,konifer,KVK/KVK_fer_e-taling.mp3,already-present
KVK,fes,e-pepet,hi,फ़स,festival,KVK/KVK_fes_e-pepet.mp3,generated
KVK,fes,e-taling,id-MY,fehs,festival,KVK/KVK_fes_e-taling.mp3,already-present
KVK,fet,e-pepet,hi,फ़त,bufet,KVK/KVK_fet_e-pepet.mp3,generated
KVK,fet,e-taling,id-MY,feht,bufet,KVK/KVK_fet_e-taling.mp3,already-present
KVK,fih,standard,id-MY,fih,safih,KVK/KVK_fih.mp3,already-present
KVK,fik,standard,id-MY,fik,grafik,KVK/KVK_fik.mp3,already-present
KVK,fil,standard,id-MY,fil,profil,KVK/KVK_fil.mp3,already-present
KVK,fin,standard,id-MY,fin,arifin,KVK/KVK_fin.mp3,already-present
KVK,fir,standard,id-MY,fir,firdaus,KVK/KVK_fir.mp3,already-present
KVK,fis,standard,id-MY,fis,fiskal,KVK/KVK_fis.mp3,already-present
KVK,fit,standard,id-MY,fit,fitnah,KVK/KVK_fit.mp3,already-present
KVK,fon,standard,id-MY,fon,gramofon,KVK/KVK_fon.mp3,already-present
KVK,for,standard,id-MY,for,formal,KVK/KVK_for.mp3,already-present
KVK,fos,standard,id-MY,fos,fosfat,KVK/KVK_fos.mp3,already-present
KVK,fuk,standard,id-MY,fuk,tawafuk,KVK/KVK_fuk.mp3,already-present
KVK,ful,standard,id-MY,ful,takaful,KVK/KVK_ful.mp3,already-present
KVK,fun,standard,id-MY,fun,fundamental,KVK/KVK_fun.mp3,already-present
KVK,fur,standard,id-MY,fur,furlong,KVK/KVK_fur.mp3,already-present
KVK,fus,standard,id-MY,fus,fusta,KVK/KVK_fus.mp3,already-present
KVK,fut,standard,id-MY,fut,futsal,KVK/KVK_fut.mp3,already-present
KVK,gah,standard,id-MY,gah,agah,KVK/KVK_gah.mp3,already-present
KVK,gak,standard,id-MY,gak,agak,KVK/KVK_gak.mp3,already-present
KVK,gal,standard,id-MY,gal,agal,KVK/KVK_gal.mp3,already-present
KVK,gam,standard,id-MY,gam,agam,KVK/KVK_gam.mp3,already-present
KVK,gan,standard,id-MY,gan,adegan,KVK/KVK_gan.mp3,already-present
KVK,gap,standard,id-MY,gap,bedegap,KVK/KVK_gap.mp3,already-present
KVK,gar,standard,id-MY,gar,agar,KVK/KVK_gar.mp3,already-present
KVK,gas,standard,id-MY,gas,agas,KVK/KVK_gas.mp3,already-present
KVK,gat,standard,id-MY,gat,agregat,KVK/KVK_gat.mp3,already-present
KVK,geh,e-pepet,hi,गह,hegeh,KVK/KVK_geh_e-pepet.mp3,generated
KVK,geh,e-taling,id-MY,gehh,hegeh,KVK/KVK_geh_e-taling.mp3,already-present
KVK,gek,e-pepet,hi,गक,regek,KVK/KVK_gek_e-pepet.mp3,generated
KVK,gek,e-taling,id-MY,gehk,regek,KVK/KVK_gek_e-taling.mp3,already-present
KVK,gel,e-pepet,hi,गल,bogel,KVK/KVK_gel_e-pepet.mp3,generated
KVK,gel,e-taling,id-MY,gehl,bogel,KVK/KVK_gel_e-taling.mp3,already-present
KVK,gem,e-pepet,hi,गम,bogem,KVK/KVK_gem_e-pepet.mp3,generated
KVK,gem,e-taling,id-MY,gehm,bogem,KVK/KVK_gem_e-taling.mp3,already-present
KVK,gen,e-pepet,hi,गन,agen,KVK/KVK_gen_e-pepet.mp3,generated
KVK,gen,e-taling,id-MY,gehn,agen,KVK/KVK_gen_e-taling.mp3,already-present
KVK,ger,e-pepet,hi,गर,doger,KVK/KVK_ger_e-pepet.mp3,generated
KVK,ger,e-taling,id-MY,gehr,doger,KVK/KVK_ger_e-taling.mp3,already-present
KVK,get,e-pepet,hi,गत,joget,KVK/KVK_get_e-pepet.mp3,generated
KVK,get,e-taling,id-MY,geht,joget,KVK/KVK_get_e-taling.mp3,already-present
KVK,gih,standard,id-MY,gih,agih,KVK/KVK_gih.mp3,already-present
KVK,gik,standard,id-MY,gik,gerigik,KVK/KVK_gik.mp3,already-present
KVK,gil,standard,id-MY,gil,degil,KVK/KVK_gil.mp3,already-present
KVK,gim,standard,id-MY,gim,gimnasium,KVK/KVK_gim.mp3,already-present
KVK,gin,standard,id-MY,gin,baginya,KVK/KVK_gin.mp3,already-present
KVK,gip,standard,id-MY,gip,gipsi,KVK/KVK_gip.mp3,already-present
KVK,gir,standard,id-MY,gir,geligir,KVK/KVK_gir.mp3,already-present
KVK,gis,standard,id-MY,gis,bagis,KVK/KVK_gis.mp3,already-present
KVK,git,standard,id-MY,git,digit,KVK/KVK_git.mp3,already-present
KVK,goh,standard,id-MY,goh,goh,KVK/KVK_goh.mp3,already-present
KVK,gok,standard,id-MY,gok,gelogok,KVK/KVK_gok.mp3,already-present
KVK,gol,standard,id-MY,gol,begol,KVK/KVK_gol.mp3,already-present
KVK,gom,standard,id-MY,gom,gomba,KVK/KVK_gom.mp3,already-present
KVK,gon,standard,id-MY,gon,goncang,KVK/KVK_gon.mp3,already-present
KVK,gor,standard,id-MY,gor,bagor,KVK/KVK_gor.mp3,already-present
KVK,gos,standard,id-MY,gos,ogos,KVK/KVK_gos.mp3,already-present
KVK,got,standard,id-MY,got,bogot,KVK/KVK_got.mp3,already-present
KVK,guh,standard,id-MY,guh,baguh,KVK/KVK_guh.mp3,already-present
KVK,guk,standard,id-MY,guk,aguk,KVK/KVK_guk.mp3,already-present
KVK,gul,standard,id-MY,gul,agul,KVK/KVK_gul.mp3,already-present
KVK,gum,standard,id-MY,gum,degum,KVK/KVK_gum.mp3,already-present
KVK,gun,standard,id-MY,gun,agun,KVK/KVK_gun.mp3,already-present
KVK,gup,standard,id-MY,gup,degup,KVK/KVK_gup.mp3,already-present
KVK,gur,standard,id-MY,gur,bagur,KVK/KVK_gur.mp3,already-present
KVK,gus,standard,id-MY,gus,agus,KVK/KVK_gus.mp3,already-present
KVK,gut,standard,id-MY,gut,agut,KVK/KVK_gut.mp3,already-present
KVK,hah,standard,id-MY,hah,fatahah,KVK/KVK_hah.mp3,already-present
KVK,hak,standard,id-MY,hak,bahak,KVK/KVK_hak.mp3,already-present
KVK,hal,standard,id-MY,hal,apahal,KVK/KVK_hal.mp3,already-present
KVK,ham,standard,id-MY,ham,baham,KVK/KVK_ham.mp3,already-present
KVK,han,standard,id-MY,han,acahan,KVK/KVK_han.mp3,already-present
KVK,hap,standard,id-MY,hap,jerahap,KVK/KVK_hap.mp3,already-present
KVK,har,standard,id-MY,har,amirulbahar,KVK/KVK_har.mp3,already-present
KVK,has,standard,id-MY,has,bahas,KVK/KVK_has.mp3,already-present
KVK,hat,standard,id-MY,hat,hatrik,KVK/KVK_hat.mp3,already-present
KVK,hek,e-pepet,hi,हक,hektar,KVK/KVK_hek_e-pepet.mp3,generated
KVK,hek,e-taling,id-MY,hehk,hektar,KVK/KVK_hek_e-taling.mp3,already-present
KVK,hel,e-pepet,hi,हल,kehel,KVK/KVK_hel_e-pepet.mp3,generated
KVK,hel,e-taling,id-MY,hehl,kehel,KVK/KVK_hel_e-taling.mp3,already-present
KVK,hem,e-pepet,hi,हम,ahem,KVK/KVK_hem_e-pepet.mp3,generated
KVK,hem,e-taling,id-MY,hehm,ahem,KVK/KVK_hem_e-taling.mp3,already-present
KVK,hen,e-pepet,hi,हन,hendak,KVK/KVK_hen_e-pepet.mp3,generated
KVK,hen,e-taling,id-MY,hehn,hendak,KVK/KVK_hen_e-taling.mp3,already-present
KVK,her,e-pepet,hi,हर,herba,KVK/KVK_her_e-pepet.mp3,generated
KVK,her,e-taling,id-MY,hehr,herba,KVK/KVK_her_e-taling.mp3,already-present
KVK,hih,standard,id-MY,hih,sahih,KVK/KVK_hih.mp3,already-present
KVK,hik,standard,id-MY,hik,hikmah,KVK/KVK_hik.mp3,already-present
KVK,hil,standard,id-MY,hil,jahil,KVK/KVK_hil.mp3,already-present
KVK,him,standard,id-MY,him,himbau,KVK/KVK_him.mp3,already-present
KVK,hin,standard,id-MY,hin,hincut,KVK/KVK_hin.mp3,already-present
KVK,hip,standard,id-MY,hip,hipsometer,KVK/KVK_hip.mp3,already-present
KVK,hir,standard,id-MY,hir,lahir,KVK/KVK_hir.mp3,already-present
KVK,his,standard,id-MY,his,alaihissalam,KVK/KVK_his.mp3,already-present
KVK,hit,standard,id-MY,hit,jahit,KVK/KVK_hit.mp3,already-present
KVK,hok,standard,id-MY,hok,dohok,KVK/KVK_hok.mp3,already-present
KVK,hol,standard,id-MY,hol,alkohol,KVK/KVK_hol.mp3,already-present
KVK,hon,standard,id-MY,hon,dibohongi,KVK/KVK_hon.mp3,already-present
KVK,hor,standard,id-MY,hor,hormat,KVK/KVK_hor.mp3,already-present
KVK,hos,standard,id-MY,hos,hospital,KVK/KVK_hos.mp3,already-present
KVK,huk,standard,id-MY,huk,buhuk,KVK/KVK_huk.mp3,already-present
KVK,hul,standard,id-MY,hul,buhul,KVK/KVK_hul.mp3,already-present
KVK,hum,standard,id-MY,hum,allahumma,KVK/KVK_hum.mp3,already-present
KVK,hun,standard,id-MY,hun,bihun,KVK/KVK_hun.mp3,already-present
KVK,hur,standard,id-MY,hur,landahur,KVK/KVK_hur.mp3,already-present
KVK,hus,standard,id-MY,hus,tafahus,KVK/KVK_hus.mp3,already-present
KVK,hut,standard,id-MY,hut,sahut,KVK/KVK_hut.mp3,already-present
KVK,jah,standard,id-MY,jah,gajah,KVK/KVK_jah.mp3,already-present
KVK,jak,standard,id-MY,jak,ajak,KVK/KVK_jak.mp3,already-present
KVK,jal,standard,id-MY,jal,ajal,KVK/KVK_jal.mp3,already-present
KVK,jam,standard,id-MY,jam,ajam,KVK/KVK_jam.mp3,already-present
KVK,jan,standard,id-MY,jan,ajan,KVK/KVK_jan.mp3,already-present
KVK,jap,standard,id-MY,jap,jap,KVK/KVK_jap.mp3,already-present
KVK,jar,standard,id-MY,jar,ajar,KVK/KVK_jar.mp3,already-present
KVK,jas,standard,id-MY,jas,ijas,KVK/KVK_jas.mp3,already-present
KVK,jat,standard,id-MY,jat,bejat,KVK/KVK_jat.mp3,already-present
KVK,jeh,e-pepet,hi,जह,ajeh,KVK/KVK_jeh_e-pepet.mp3,generated
KVK,jeh,e-taling,id-MY,jehh,ajeh,KVK/KVK_jeh_e-taling.mp3,already-present
KVK,jek,e-pepet,hi,जक,ajek,KVK/KVK_jek_e-pepet.mp3,generated
KVK,jek,e-taling,id-MY,jehk,ajek,KVK/KVK_jek_e-taling.mp3,already-present
KVK,jel,e-pepet,hi,जल,jel,KVK/KVK_jel_e-pepet.mp3,generated
KVK,jel,e-taling,id-MY,jehl,jel,KVK/KVK_jel_e-taling.mp3,already-present
KVK,jem,e-pepet,hi,जम,jem,KVK/KVK_jem_e-pepet.mp3,generated
KVK,jem,e-taling,id-MY,jehm,jem,KVK/KVK_jem_e-taling.mp3,already-present
KVK,jen,e-pepet,hi,जन,ajengan,KVK/KVK_jen_e-pepet.mp3,generated
KVK,jen,e-taling,id-MY,jehn,ajengan,KVK/KVK_jen_e-taling.mp3,already-present
KVK,jer,e-pepet,hi,जर,jejer,KVK/KVK_jer_e-pepet.mp3,generated
KVK,jer,e-taling,id-MY,jehr,jejer,KVK/KVK_jer_e-taling.mp3,already-present
KVK,jet,e-pepet,hi,जत,bajet,KVK/KVK_jet_e-pepet.mp3,generated
KVK,jet,e-taling,id-MY,jeht,bajet,KVK/KVK_jet_e-taling.mp3,already-present
KVK,jih,standard,id-MY,jih,bijih,KVK/KVK_jih.mp3,already-present
KVK,jik,standard,id-MY,jik,bajik,KVK/KVK_jik.mp3,already-present
KVK,jil,standard,id-MY,jil,kijil,KVK/KVK_jil.mp3,already-present
KVK,jim,standard,id-MY,jim,hajim,KVK/KVK_jim.mp3,already-present
KVK,jin,standard,id-MY,jin,bijinya,KVK/KVK_jin.mp3,already-present
KVK,jip,standard,id-MY,jip,jip,KVK/KVK_jip.mp3,already-present
KVK,jir,standard,id-MY,jir,ajir,KVK/KVK_jir.mp3,already-present
KVK,jis,standard,id-MY,jis,najis,KVK/KVK_jis.mp3,already-present
KVK,jit,standard,id-MY,jit,jerijit,KVK/KVK_jit.mp3,already-present
KVK,joh,standard,id-MY,joh,gelojoh,KVK/KVK_joh.mp3,already-present
KVK,jok,standard,id-MY,jok,pojok,KVK/KVK_jok.mp3,already-present
KVK,jol,standard,id-MY,jol,jerojol,KVK/KVK_jol.mp3,already-present
KVK,jom,standard,id-MY,jom,jompak,KVK/KVK_jom.mp3,already-present
KVK,jon,standard,id-MY,jon,jongang,KVK/KVK_jon.mp3,already-present
KVK,juh,standard,id-MY,juh,jujuh,KVK/KVK_juh.mp3,already-present
KVK,juk,standard,id-MY,juk,adisejuk,KVK/KVK_juk.mp3,already-present
KVK,jul,standard,id-MY,jul,bajul,KVK/KVK_jul.mp3,already-present
KVK,jum,standard,id-MY,jum,jumbai,KVK/KVK_jum.mp3,already-present
KVK,jun,standard,id-MY,jun,ajun,KVK/KVK_jun.mp3,already-present
KVK,jur,standard,id-MY,jur,belujur,KVK/KVK_jur.mp3,already-present
KVK,jus,standard,id-MY,jus,gajus,KVK/KVK_jus.mp3,already-present
KVK,jut,standard,id-MY,jut,jujut,KVK/KVK_jut.mp3,already-present
KVK,kah,standard,id-MY,kah,akadnikahkan,KVK/KVK_kah.mp3,already-present
KVK,kak,standard,id-MY,kak,akak,KVK/KVK_kak.mp3,already-present
KVK,kal,standard,id-MY,kal,akal,KVK/KVK_kal.mp3,already-present
KVK,kam,standard,id-MY,kam,bakam,KVK/KVK_kam.mp3,already-present
KVK,kan,standard,id-MY,kan,abadikan,KVK/KVK_kan.mp3,already-present
